ID;Ganancia;Online;CategoriaEdad;CategoriaIngresos;Permanencia;Municipio
6926;6;0;4;7;25.83;Salsipuedes
6927;-20;1;;;1.66;Salsipuedes
6928;-109;0;3;3;16.33;Salsipuedes
6929;9;0;4;1;6.5;Macumba
6930;-23;0;;;1.66;Salsipuedes
6931;-55;0;4;3;6.75;Salsipuedes
6932;-31;0;2;7;4.41;Salsipuedes
6933;-14;0;;3;2.83;Salsipuedes
6934;92;0;3;6;5.66;Salsipuedes
6935;174;0;3;9;6.33;Salsipuedes
6936;151;0;5;9;12.25;Salsipuedes
6937;138;0;2;4;4.16;Salsipuedes
6938;-47;0;3;4;2.75;Salsipuedes
6939;289;0;;;21.58;Losmochis
6940;32;0;2;5;6.33;Salsipuedes
6941;55;0;2;2;7.5;Losmochis
6942;-23;0;2;1;4.33;Salsipuedes
6943;-44;0;5;8;26;Salsipuedes
6944;41;0;3;6;3;Salsipuedes
6945;-74;0;4;2;16.25;Salsipuedes
6946;280;0;2;7;14.33;Salsipuedes
6947;-25;0;;;7.16;Salsipuedes
6948;-27;0;3;4;5.08;Losmochis
6949;3;0;5;4;4.58;Losmochis
6950;119;0;3;8;9.75;Salsipuedes
6951;-25;0;;;0.33;Macumba
6952;70;0;;;7.66;Salsipuedes
6953;-3;0;;;5.41;Salsipuedes
6954;143;0;2;1;9.75;Salsipuedes
6955;853;0;5;7;9.58;Losmochis
6956;-51;0;;;11;Salsipuedes
6957;1091;0;7;4;14.58;Losmochis
6958;56;0;5;6;4.75;Losmochis
6959;-193;0;;;5.66;Salsipuedes
6960;168;1;7;6;3.75;Macumba
6961;217;1;3;9;10.08;Salsipuedes
6962;273;0;;3;7.16;Salsipuedes
6963;-77;0;7;6;3.08;Salsipuedes
6964;255;0;;;2.83;Salsipuedes
6965;-12;0;;;3.33;Salsipuedes
6966;-117;0;1;7;4.25;Salsipuedes
6967;295;0;4;9;9.25;Salsipuedes
6968;2;0;2;7;3.5;Losmochis
6969;4;0;3;6;6.16;Salsipuedes
6970;171;0;6;5;7.33;Losmochis
6971;-63;0;1;6;3.5;Salsipuedes
6972;416;0;4;6;33.08;Macumba
6973;-7;0;;;30.08;Salsipuedes
6974;-9;0;4;6;7;Salsipuedes
6975;7;0;6;6;22.58;Salsipuedes
6976;-24;0;5;9;4.58;Salsipuedes
6977;-6;0;;;0.66;Salsipuedes
6978;-4;0;;;2.08;Salsipuedes
6979;124;0;3;6;16.58;Salsipuedes
6980;290;0;4;7;7.66;Salsipuedes
6981;-1;0;;;4.33;Salsipuedes
6982;146;0;;;18.91;Losmochis
6983;217;0;6;4;21.5;Salsipuedes
6984;-31;0;3;6;2;Losmochis
6985;-92;0;4;9;13.83;Salsipuedes
6986;-2;0;3;3;3.33;Losmochis
6987;122;0;;;39.91;Salsipuedes
6988;226;1;5;6;7.16;Salsipuedes
6989;-67;0;;;3.66;Salsipuedes
6990;235;1;3;8;4.83;Salsipuedes
6991;555;0;4;9;11.66;Salsipuedes
6992;104;0;3;4;4.66;Macumba
6993;-13;1;1;;4.58;Salsipuedes
6994;15;0;2;3;4.5;Losmochis
6995;38;0;;;2.75;Salsipuedes
6996;-71;1;;;1.83;Salsipuedes
6997;513;1;3;6;4.91;Salsipuedes
6998;-36;0;2;3;3;Salsipuedes
6999;-26;0;;;6.08;Salsipuedes
7000;213;0;2;4;6.58;Salsipuedes
7001;-37;1;2;7;8.5;Salsipuedes
7002;90;0;2;7;6.16;Salsipuedes
7003;5;0;2;4;4.08;Losmochis
7004;-66;0;7;4;1.91;Salsipuedes
7005;-56;0;4;6;5.33;Salsipuedes
7006;-172;1;4;8;8.66;Losmochis
7007;228;0;5;6;8.83;Salsipuedes
7008;71;0;4;7;27.66;Macumba
7009;7;0;6;6;25.66;Salsipuedes
7010;0;1;3;5;9.5;Salsipuedes
7011;-205;0;3;6;5.58;Salsipuedes
7012;-70;1;3;7;12.08;Salsipuedes
7013;-3;0;5;9;7.33;Salsipuedes
7014;-38;0;;;4.41;Salsipuedes
7015;-140;0;5;8;10.75;Salsipuedes
7016;-72;0;5;9;9.08;Salsipuedes
7017;354;0;5;9;16.5;Salsipuedes
7018;-105;0;2;6;5.83;Salsipuedes
7019;-134;0;;;3.08;Salsipuedes
7020;-91;0;3;6;5.41;Salsipuedes
7021;-63;0;2;9;3.33;Salsipuedes
7022;-61;0;3;8;0.91;Macumba
7023;-143;0;4;6;13;Macumba
7024;-38;0;;;2.08;Salsipuedes
7025;-31;0;;;10.66;Salsipuedes
7026;16;0;5;4;19.33;Salsipuedes
7027;-50;0;4;5;4.66;Salsipuedes
7028;263;0;;;0.83;Salsipuedes
7029;206;0;5;7;22.66;Salsipuedes
7030;-4;0;4;7;11.66;Salsipuedes
7031;684;0;3;6;16.91;Salsipuedes
7032;-19;0;;;3.91;Salsipuedes
7033;-32;0;1;1;6.75;Salsipuedes
7034;-16;0;3;6;8.08;Salsipuedes
7035;-32;0;4;6;21.66;Salsipuedes
7036;48;0;3;4;14.5;Salsipuedes
7037;-28;0;5;4;20;Macumba
7038;44;0;3;9;2.33;Salsipuedes
7039;-46;0;2;5;11;Macumba
7040;23;0;;;3.41;Salsipuedes
7041;-15;1;3;;0.16;Salsipuedes
7042;3;0;4;3;4.83;Salsipuedes
7043;68;0;6;5;30.83;Losmochis
7044;-8;0;;;28.16;Salsipuedes
7045;148;1;2;4;4.08;Salsipuedes
7046;222;0;4;5;7.75;Salsipuedes
7047;-61;0;;;3.25;Salsipuedes
7048;713;0;5;7;27;Salsipuedes
7049;-34;0;2;5;5.16;Losmochis
7050;171;0;;;12.66;Salsipuedes
7051;2;0;2;7;6;Salsipuedes
7052;274;1;2;5;1.75;Salsipuedes
7053;11;0;;;14.41;Salsipuedes
7054;107;0;3;7;11.25;Macumba
7055;12;0;6;1;5.33;Losmochis
7056;46;0;4;;16.58;Salsipuedes
7057;2;0;7;1;6.83;Salsipuedes
7058;756;0;3;5;11.75;Losmochis
7059;-40;1;2;3;7.08;Salsipuedes
7060;-106;1;2;6;9.75;Salsipuedes
7061;566;0;4;1;17.75;Salsipuedes
7062;-35;0;2;7;7;Salsipuedes
7063;-61;0;;;0.41;Salsipuedes
7064;192;0;2;9;5.16;Salsipuedes
7065;320;0;5;3;7.5;Salsipuedes
7066;-119;0;4;6;8;Macumba
7067;-17;1;;;7.58;Salsipuedes
7068;-147;0;3;6;20.33;Salsipuedes
7069;-79;0;2;2;4.08;Salsipuedes
7070;-12;0;3;8;1;Salsipuedes
7071;70;0;3;6;6.66;Salsipuedes
7072;-80;1;;;6.75;Salsipuedes
7073;362;0;2;7;9.5;Salsipuedes
7074;-40;0;;;3.66;Salsipuedes
7075;9;0;5;7;5.33;Salsipuedes
7076;-15;0;3;6;7.41;Salsipuedes
7077;-70;0;2;5;6.5;Macumba
7078;530;0;7;3;0.83;Salsipuedes
7079;1554;0;5;2;28;Losmochis
7080;-12;0;1;6;1.91;Salsipuedes
7081;207;0;7;4;8.83;Salsipuedes
7082;114;1;3;9;7.91;Salsipuedes
7083;-6;0;5;7;1.16;Salsipuedes
7084;75;0;4;4;1.66;Losmochis
7085;694;0;3;6;5.41;Salsipuedes
7086;452;0;5;9;3.91;Macumba
7087;-52;0;5;1;1.66;Salsipuedes
7088;-29;0;;;3;Salsipuedes
7089;-91;0;5;7;19.5;Salsipuedes
7090;-122;0;2;2;3.33;Macumba
7091;-28;0;4;4;4.66;Salsipuedes
7092;-38;0;;;8.5;Salsipuedes
7093;27;0;7;6;8.41;Losmochis
7094;134;0;3;9;10.25;Salsipuedes
7095;42;0;2;7;12.16;Salsipuedes
7096;275;0;7;3;6.91;Losmochis
7097;732;0;7;7;10.33;Salsipuedes
7098;-56;0;;;2.91;Salsipuedes
7099;-136;0;5;2;32.5;Salsipuedes
7100;20;1;;;0.33;Salsipuedes
7101;38;0;;;8.41;Salsipuedes
7102;-69;1;4;6;23.25;Salsipuedes
7103;44;1;3;7;2.75;Salsipuedes
7104;-61;0;6;6;9.66;Salsipuedes
7105;478;0;5;4;14.66;Salsipuedes
7106;10;0;4;6;1.25;Salsipuedes
7107;-164;0;6;1;5.16;Macumba
7108;24;0;3;7;6.83;Macumba
7109;213;0;7;6;21.16;Salsipuedes
7110;-9;0;5;3;22.33;Macumba
7111;-83;0;3;4;10.58;Salsipuedes
7112;320;0;4;5;0.58;Macumba
7113;-28;0;7;1;26.66;Salsipuedes
7114;112;0;3;5;24.33;Macumba
7115;155;0;;;17.75;Salsipuedes
7116;105;0;7;2;16;Salsipuedes
7117;-2;0;4;3;3.41;Losmochis
7118;134;0;3;7;11.83;Salsipuedes
7119;-3;0;7;6;3.66;Losmochis
7120;-66;0;;;4.91;Salsipuedes
7121;51;0;;;2.33;Salsipuedes
7122;983;0;7;3;16.66;Salsipuedes
7123;1335;0;6;2;9.91;Salsipuedes
7124;172;0;4;9;5.91;Salsipuedes
7125;-20;0;1;1;1.33;Macumba
7126;-34;0;7;2;1.16;Salsipuedes
7127;-13;0;1;3;3.25;Salsipuedes
7128;257;0;2;1;7.41;Macumba
7129;-57;1;4;6;3.16;Salsipuedes
7130;189;0;;;2.08;Salsipuedes
7131;914;0;3;6;2;Salsipuedes
7132;-138;0;4;6;8;Salsipuedes
7133;395;0;;;11;Salsipuedes
7134;33;0;2;6;3;Salsipuedes
7135;-116;0;2;5;4.25;Salsipuedes
7136;37;0;;;3.66;Salsipuedes
7137;73;0;2;3;19.91;Salsipuedes
7138;16;1;3;1;0.91;Salsipuedes
7139;-38;1;4;6;24.66;Losmochis
7140;-28;0;3;1;7.41;Salsipuedes
7141;61;1;6;6;20.25;Salsipuedes
7142;10;0;;;0.33;Salsipuedes
7143;-32;0;4;3;7.25;Salsipuedes
7144;14;0;4;4;13.91;Salsipuedes
7145;835;0;4;9;17.5;Salsipuedes
7146;316;0;;;11.83;Macumba
7147;-49;1;;;7.75;Salsipuedes
7148;-19;0;;;6.5;Salsipuedes
7149;-38;0;7;2;3.66;Losmochis
7150;74;1;3;8;2.33;Salsipuedes
7151;436;0;6;8;3.25;Macumba
7152;-33;0;4;6;1.91;Salsipuedes
7153;201;0;5;5;4.25;Salsipuedes
7154;248;0;4;9;5.41;Salsipuedes
7155;323;0;5;6;35.5;Salsipuedes
7156;22;1;;;1.08;Macumba
7157;478;0;3;7;19.58;Salsipuedes
7158;969;0;5;6;31.41;Salsipuedes
7159;125;0;7;6;7.83;Salsipuedes
7160;45;0;3;9;13.33;Salsipuedes
7161;132;0;;;27.58;Salsipuedes
7162;-41;0;3;6;4.41;Macumba
7163;15;0;1;5;1;Salsipuedes
7164;55;0;3;4;0.41;Macumba
7165;-42;0;6;6;25.16;Macumba
7166;125;0;;;12.33;Salsipuedes
7167;11;0;;;4.41;Salsipuedes
7168;15;0;3;4;13;Macumba
7169;422;1;4;8;17.33;Salsipuedes
7170;-46;0;3;7;23.83;Salsipuedes
7171;-142;0;5;5;25.58;Salsipuedes
7172;1743;0;3;9;1.75;Salsipuedes
7173;-68;0;7;2;26.41;Macumba
7174;936;0;2;1;3.41;Macumba
7175;365;0;;;9.75;Losmochis
7176;-13;0;2;1;0.91;Macumba
7177;-70;0;;5;21.5;Salsipuedes
7178;-24;0;4;3;2.58;Salsipuedes
7179;9;0;;;3.16;Salsipuedes
7180;4;0;;;2.16;Salsipuedes
7181;94;0;;;1;Salsipuedes
7182;-95;0;7;1;40.83;Salsipuedes
7183;12;0;4;6;1.91;Losmochis
7184;127;0;5;5;19.91;Salsipuedes
7185;-74;0;;;23.25;Salsipuedes
7186;89;0;2;6;5.66;Salsipuedes
7187;560;0;5;9;30.66;Salsipuedes
7188;1669;0;5;7;11.41;Salsipuedes
7189;34;0;5;5;20.33;Salsipuedes
7190;23;0;6;6;22.58;Losmochis
7191;-74;1;3;9;3;Salsipuedes
7192;-33;0;2;;5.91;Salsipuedes
7193;-40;0;;;19.41;Salsipuedes
7194;-19;0;5;5;5.16;Salsipuedes
7195;-92;0;;;8.75;Salsipuedes
7196;-15;0;4;1;5.16;Salsipuedes
7197;-23;0;5;5;5.75;Salsipuedes
7198;943;0;7;6;23.41;Salsipuedes
7199;927;0;5;6;22.33;Losmochis
7200;156;0;;;31.41;Losmochis
7201;-3;0;3;6;1.58;Losmochis
7202;-94;0;7;2;7.08;Macumba
7203;26;0;;;0.58;Salsipuedes
7204;57;0;4;4;6.25;Macumba
7205;-28;0;4;2;7.25;Losmochis
7206;309;0;4;7;7.58;Macumba
7207;126;0;2;5;1.41;Macumba
7208;-14;0;6;6;18.16;Salsipuedes
7209;1055;0;6;6;10;Salsipuedes
7210;-10;0;4;7;4.5;Macumba
7211;109;1;6;2;13.75;Macumba
7212;-86;0;4;7;9.41;Salsipuedes
7213;-48;1;1;1;7.5;Salsipuedes
7214;-1;0;3;8;1.75;Salsipuedes
7215;2;0;;;2.5;Macumba
7216;-9;0;2;3;2.08;Salsipuedes
7217;-75;1;;;9.5;Salsipuedes
7218;77;0;3;4;16.5;Losmochis
7219;-106;1;;;4.83;Macumba
7220;-62;0;;;1.16;Salsipuedes
7221;252;0;3;1;5.5;Salsipuedes
7222;-2;0;;;1.75;Salsipuedes
7223;544;0;5;7;19.16;Salsipuedes
7224;98;0;;;4.83;Salsipuedes
7225;-134;1;3;9;7.58;Salsipuedes
7226;41;0;3;9;9.25;Macumba
7227;5;0;;;4.5;Macumba
7228;-55;0;4;6;7.83;Salsipuedes
7229;-63;0;3;9;12.58;Salsipuedes
7230;450;0;3;3;19.83;Macumba
7231;116;0;6;7;28.08;Losmochis
7232;-14;0;5;6;7;Salsipuedes
7233;-14;0;7;6;31.66;Macumba
7234;93;0;3;7;3;Salsipuedes
7235;37;0;5;8;6.41;Salsipuedes
7236;-3;0;5;1;7.33;Salsipuedes
7237;-67;0;4;1;2.75;Losmochis
7238;23;0;;;13.33;Salsipuedes
7239;900;0;;;2.41;Macumba
7240;196;0;3;9;13.25;Salsipuedes
7241;9;0;3;;8;Salsipuedes
7242;-61;0;;;4.66;Salsipuedes
7243;-25;0;;;1.75;Salsipuedes
7244;-4;0;2;7;6.66;Salsipuedes
7245;111;0;4;1;23.08;Macumba
7246;-44;0;;;2.33;Salsipuedes
7247;205;1;5;6;22.66;Salsipuedes
7248;458;0;4;9;15.91;Salsipuedes
7249;272;0;5;7;10.5;Salsipuedes
7250;-3;0;2;;2.58;Losmochis
7251;-128;0;7;9;31.41;Salsipuedes
7252;1;0;;;1.91;Macumba
7253;-23;0;2;5;4;Salsipuedes
7254;-121;0;2;3;5;Salsipuedes
7255;-76;0;5;3;10.58;Salsipuedes
7256;-27;0;2;1;1.16;Salsipuedes
7257;85;0;7;8;30.08;Salsipuedes
7258;-71;0;5;9;16.66;Salsipuedes
7259;533;0;7;6;26.41;Salsipuedes
7260;-103;0;6;1;18.83;Salsipuedes
7261;180;1;;;7.58;Salsipuedes
7262;86;1;2;1;5;Salsipuedes
7263;73;0;3;6;2.33;Salsipuedes
7264;109;1;4;1;2.66;Macumba
7265;-14;1;4;7;2.58;Salsipuedes
7266;45;0;7;5;16.5;Salsipuedes
7267;-114;1;3;4;7.41;Salsipuedes
7268;-22;1;;;0.41;Salsipuedes
7269;193;0;3;8;5.91;Salsipuedes
7270;-4;0;3;5;7.16;Losmochis
7271;218;1;7;1;29.41;Salsipuedes
7272;-49;0;3;3;1.41;Macumba
7273;144;0;4;6;15.58;Macumba
7274;34;0;;;5.25;Salsipuedes
7275;266;0;3;9;4.41;Salsipuedes
7276;-21;0;3;7;4.58;Salsipuedes
7277;108;1;7;5;15.08;Macumba
7278;-50;0;4;5;14.83;Salsipuedes
7279;1386;1;2;9;7.41;Salsipuedes
7280;-21;0;3;;1.33;Macumba
7281;0;0;4;3;21.83;Salsipuedes
7282;-58;0;5;9;26.58;Salsipuedes
7283;-29;0;;;0.33;Salsipuedes
7284;-62;0;5;6;3.08;Salsipuedes
7285;5;0;3;6;17.33;Salsipuedes
7286;-71;1;2;7;2.41;Salsipuedes
7287;100;0;3;8;8.91;Salsipuedes
7288;4;0;;;7.75;Salsipuedes
7289;9;0;4;6;2.66;Salsipuedes
7290;288;0;4;9;27.83;Salsipuedes
7291;91;0;6;7;37.5;Salsipuedes
7292;-116;0;4;;11.5;Salsipuedes
7293;457;0;5;5;4.25;Salsipuedes
7294;847;1;6;9;7.16;Salsipuedes
7295;-4;0;;;5.08;Losmochis
7296;124;0;4;4;19.25;Macumba
7297;-33;0;4;5;4.16;Salsipuedes
7298;524;0;6;6;12.75;Losmochis
7299;42;1;3;1;11.16;Salsipuedes
7300;-18;0;3;3;0.91;Salsipuedes
7301;511;0;5;7;13.91;Salsipuedes
7302;-115;0;4;7;4.75;Macumba
7303;-100;0;4;1;0.83;Losmochis
7304;-14;0;3;7;6.08;Salsipuedes
7305;-1;0;4;7;9.41;Macumba
7306;303;0;7;8;11.5;Salsipuedes
7307;-22;0;3;1;4.91;Losmochis
7308;-96;1;;;11.75;Salsipuedes
7309;-133;0;4;9;12.91;Salsipuedes
7310;-6;0;5;6;3.33;Salsipuedes
7311;183;1;3;4;6.91;Macumba
7312;-159;0;6;7;5.5;Salsipuedes
7313;-13;0;;;19.41;Macumba
7314;162;0;3;3;11.66;Salsipuedes
7315;108;0;4;9;30.83;Salsipuedes
7316;-163;0;6;5;24.75;Losmochis
7317;115;0;4;8;2.5;Salsipuedes
7318;26;1;;;4.66;Salsipuedes
7319;0;0;;;1.5;Salsipuedes
7320;328;1;;;6.16;Salsipuedes
7321;756;0;;;14.08;Salsipuedes
7322;65;0;;;2.83;Salsipuedes
7323;-43;0;3;8;5.75;Salsipuedes
7324;-30;0;1;6;8;Macumba
7325;-31;0;1;;4.08;Salsipuedes
7326;35;0;4;6;31.58;Salsipuedes
7327;-107;1;5;7;24.83;Salsipuedes
7328;76;0;;;2.41;Salsipuedes
7329;330;0;4;5;23.25;Salsipuedes
7330;23;0;3;6;7.58;Macumba
7331;-76;0;4;9;13.5;Salsipuedes
7332;-2;0;4;7;4.33;Salsipuedes
7333;-26;0;3;9;0.41;Salsipuedes
7334;30;0;5;7;2.08;Salsipuedes
7335;30;0;4;7;4.5;Salsipuedes
7336;78;0;4;9;3;Salsipuedes
7337;326;0;3;9;7.5;Salsipuedes
7338;11;0;;;3.25;Salsipuedes
7339;47;0;;;10.66;Salsipuedes
7340;-185;0;4;5;28.66;Macumba
7341;-115;0;4;6;25.75;Salsipuedes
7342;-2;0;;;2.25;Salsipuedes
7343;96;0;7;1;6.83;Salsipuedes
7344;792;0;6;9;10.66;Salsipuedes
7345;18;1;2;6;5.25;Losmochis
7346;167;0;5;7;15.41;Salsipuedes
7347;120;0;;;12.83;Salsipuedes
7348;115;1;2;8;1.25;Salsipuedes
7349;-18;0;5;6;7.41;Salsipuedes
7350;-142;1;;;10.25;Macumba
7351;112;0;4;;24.75;Salsipuedes
7352;545;0;;;24.08;Salsipuedes
7353;-30;0;5;7;11.25;Salsipuedes
7354;-33;0;;;4.75;Macumba
7355;-29;0;7;2;5.41;Salsipuedes
7356;323;0;3;6;8.25;Salsipuedes
7357;-25;0;5;6;2.41;Macumba
7358;146;0;3;7;14.58;Salsipuedes
7359;152;0;;;24;Salsipuedes
7360;-38;0;4;1;26.83;Salsipuedes
7361;767;1;;;10.5;Losmochis
7362;-6;0;4;6;21.75;Salsipuedes
7363;-98;0;3;7;4.25;Salsipuedes
7364;-51;0;;;14.58;Salsipuedes
7365;23;0;1;1;5.16;Losmochis
7366;58;0;6;1;21.41;Losmochis
7367;217;0;7;6;4.16;Salsipuedes
7368;67;1;2;5;9.41;Salsipuedes
7369;65;0;2;8;16.41;Salsipuedes
7370;82;1;2;6;5.91;Salsipuedes
7371;-83;0;2;9;5.25;Salsipuedes
7372;-138;0;;;22;Macumba
7373;1979;1;3;9;16.41;Salsipuedes
7374;-80;0;6;8;18.75;Salsipuedes
7375;-87;0;;;1.08;Salsipuedes
7376;-3;0;4;4;3.41;Salsipuedes
7377;208;0;2;;6.5;Salsipuedes
7378;505;0;3;9;12.25;Salsipuedes
7379;546;0;7;6;23.91;Salsipuedes
7380;-84;0;;;5;Salsipuedes
7381;14;0;6;7;20.16;Salsipuedes
7382;439;0;7;6;4.5;Macumba
7383;86;0;6;6;24.08;Salsipuedes
7384;-128;0;7;2;16.83;Macumba
7385;-37;0;;;13.08;Losmochis
7386;134;0;4;5;0.83;Salsipuedes
7387;53;0;;;1.58;Salsipuedes
7388;157;0;4;4;24.66;Salsipuedes
7389;97;0;;;7.41;Salsipuedes
7390;-18;0;;;5.33;Salsipuedes
7391;3;0;3;3;13.5;Salsipuedes
7392;-119;0;3;7;20.91;Salsipuedes
7393;262;1;4;9;6.58;Salsipuedes
7394;-59;0;;;1.91;Salsipuedes
7395;-30;0;5;6;30.58;Salsipuedes
7396;653;0;4;5;16.83;Macumba
7397;-85;0;3;6;6.08;Salsipuedes
7398;896;0;6;3;29.16;Macumba
7399;101;0;;;15.58;Salsipuedes
7400;-3;0;;;23.58;Salsipuedes
7401;540;0;7;6;9.5;Salsipuedes
7402;-44;0;3;6;4.66;Salsipuedes
7403;160;0;4;9;3.33;Salsipuedes
7404;-130;0;4;9;3.33;Salsipuedes
7405;86;0;7;6;29.83;Salsipuedes
7406;66;0;7;7;27.33;Salsipuedes
7407;96;0;;;18.58;Salsipuedes
7408;-56;0;;;9.08;Losmochis
7409;-31;0;2;3;4.83;Salsipuedes
7410;-34;0;;;8.08;Salsipuedes
7411;9;0;3;4;5;Macumba
7412;-43;0;3;8;10.83;Salsipuedes
7413;323;0;7;6;17.25;Salsipuedes
7414;-87;0;4;5;11;Salsipuedes
7415;-84;0;7;1;3.5;Losmochis
7416;-12;0;4;5;1.25;Salsipuedes
7417;181;0;;;4.5;Salsipuedes
7418;-2;0;4;8;10;Salsipuedes
7419;-36;0;3;9;10.41;Salsipuedes
7420;-37;0;3;7;5.58;Salsipuedes
7421;-11;0;4;3;3.83;Macumba
7422;97;0;6;9;20.5;Salsipuedes
7423;-21;0;2;7;9.08;Salsipuedes
7424;219;1;2;9;9.83;Salsipuedes
7425;-43;0;;;4.66;Salsipuedes
7426;140;0;2;4;2.66;Salsipuedes
7427;-115;0;;;10;Salsipuedes
7428;-23;0;4;1;3.75;Macumba
7429;-99;0;6;4;29;Salsipuedes
7430;87;0;6;6;25.83;Macumba
7431;606;0;5;5;25.75;Losmochis
7432;259;0;3;7;5.08;Salsipuedes
7433;95;0;4;9;6.41;Macumba
7434;562;0;;;24.91;Salsipuedes
7435;82;0;6;9;10.16;Salsipuedes
7436;-18;0;;;1.91;Losmochis
7437;2;0;4;7;1.08;Salsipuedes
7438;-32;1;;;4.58;Salsipuedes
7439;-2;0;4;9;15.91;Salsipuedes
7440;14;0;;;7.83;Macumba
7441;-37;0;5;9;9.75;Salsipuedes
7442;-60;0;;;4.25;Macumba
7443;201;0;;;31.75;Losmochis
7444;-99;0;2;9;6.41;Salsipuedes
7445;158;1;;;11.91;Salsipuedes
7446;3;0;4;9;8.75;Salsipuedes
7447;-26;0;;;7.75;Salsipuedes
7448;310;0;;;16.91;Salsipuedes
7449;-54;0;;;17.08;Salsipuedes
7450;-50;0;2;6;14;Macumba
7451;900;0;;;14.75;Salsipuedes
7452;93;0;;;15;Salsipuedes
7453;451;0;3;6;6.58;Salsipuedes
7454;-50;0;3;9;14.16;Salsipuedes
7455;148;1;2;5;5.83;Salsipuedes
7456;-1;0;4;9;1.91;Salsipuedes
7457;252;0;6;4;34.75;Macumba
7458;-26;0;;;8.66;Macumba
7459;252;0;3;7;11.08;Salsipuedes
7460;73;0;5;6;6.66;Salsipuedes
7461;-148;1;2;9;6.66;Salsipuedes
7462;-9;0;;;0.41;Salsipuedes
7463;137;0;2;6;11.5;Salsipuedes
7464;7;0;7;3;2.66;Losmochis
7465;16;0;7;1;3.41;Losmochis
7466;66;0;5;9;21.16;Salsipuedes
7467;216;0;;;12.16;Losmochis
7468;8;0;;6;1.16;Salsipuedes
7469;-38;1;;6;0.66;Salsipuedes
7470;-79;0;7;1;4.33;Salsipuedes
7471;132;0;7;6;10.5;Salsipuedes
7472;352;0;3;4;1.41;Macumba
7473;205;0;5;4;27.58;Salsipuedes
7474;56;0;2;2;10.75;Salsipuedes
7475;495;1;5;4;2.83;Salsipuedes
7476;-141;0;2;4;6.16;Salsipuedes
7477;45;0;7;6;24.25;Salsipuedes
7478;131;0;;;4.66;Salsipuedes
7479;371;0;7;4;6.66;Salsipuedes
7480;92;0;2;6;3.66;Macumba
7481;259;0;7;9;13.41;Salsipuedes
7482;-11;1;2;4;7.5;Salsipuedes
7483;-45;0;;;6.83;Macumba
7484;-129;1;3;2;2.58;Salsipuedes
7485;-82;0;6;6;4.58;Salsipuedes
7486;297;0;3;3;13.75;Salsipuedes
7487;135;0;;;3.75;Salsipuedes
7488;253;0;;;5.41;Salsipuedes
7489;231;1;3;9;3.83;Salsipuedes
7490;16;1;;;0.25;Salsipuedes
7491;403;0;7;6;16.66;Salsipuedes
7492;-25;0;;;4.16;Salsipuedes
7493;67;1;4;6;12.16;Salsipuedes
7494;-16;0;5;1;10.33;Salsipuedes
7495;359;0;4;6;14.91;Salsipuedes
7496;22;0;2;6;4;Salsipuedes
7497;1165;0;6;4;38.75;Salsipuedes
7498;1;0;2;1;7.91;Salsipuedes
7499;-4;0;4;3;0.58;Salsipuedes
7500;-24;0;;;9.58;Salsipuedes
7501;-70;0;;;2.5;Salsipuedes
7502;12;0;4;9;15.66;Salsipuedes
7503;255;0;5;2;4.58;Salsipuedes
7504;3;0;;;10.58;Salsipuedes
7505;-41;1;2;3;4.5;Salsipuedes
7506;-19;0;;;4.75;Losmochis
7507;267;0;6;9;12.91;Salsipuedes
7508;-31;0;;6;0.5;Salsipuedes
7509;58;0;7;3;22.08;Salsipuedes
7510;21;0;7;5;11.58;Losmochis
7511;50;1;;;20.16;Salsipuedes
7512;10;0;2;1;0.16;Salsipuedes
7513;150;0;3;6;10.83;Salsipuedes
7514;-35;0;4;9;4.08;Salsipuedes
7515;779;0;5;8;1.91;Salsipuedes
7516;-21;0;;;2.16;Salsipuedes
7517;-20;0;3;4;1.66;Salsipuedes
7518;-13;0;;;9.66;Salsipuedes
7519;35;1;4;8;18.83;Macumba
7520;30;0;;;5.91;Salsipuedes
7521;-2;0;;;1.41;Salsipuedes
7522;572;0;6;6;29.58;Salsipuedes
7523;23;0;1;9;4.25;Salsipuedes
7524;606;0;7;6;22.08;Salsipuedes
7525;-73;0;6;6;3.66;Salsipuedes
7526;-50;0;4;6;24.58;Losmochis
7527;-90;0;2;6;3.75;Salsipuedes
7528;111;0;7;6;18.83;Salsipuedes
7529;-67;0;1;2;4.16;Salsipuedes
7530;977;0;4;9;17.58;Salsipuedes
7531;-46;0;7;4;10.5;Salsipuedes
7532;-109;0;2;5;3.41;Losmochis
7533;240;0;2;8;3.91;Salsipuedes
7534;-36;1;3;2;0.66;Salsipuedes
7535;178;0;5;2;1.33;Salsipuedes
7536;737;0;6;4;26.91;Losmochis
7537;-58;0;;;0.83;Salsipuedes
7538;363;1;;;2.58;Salsipuedes
7539;446;0;4;9;14;Salsipuedes
7540;36;0;7;3;28.25;Losmochis
7541;155;0;4;9;5.58;Salsipuedes
7542;-66;0;3;7;7.08;Macumba
7543;74;1;4;4;21.58;Salsipuedes
7544;1733;0;5;9;7.58;Salsipuedes
7545;-30;0;3;9;7.5;Salsipuedes
7546;-46;0;4;1;5.83;Salsipuedes
7547;99;0;7;3;7.58;Salsipuedes
7548;15;0;2;6;8.25;Salsipuedes
7549;-69;0;;;2.83;Salsipuedes
7550;485;0;4;2;3.83;Salsipuedes
7551;-9;0;2;2;14.16;Salsipuedes
7552;-93;0;4;4;4.66;Losmochis
7553;-28;0;3;6;13.58;Salsipuedes
